NO_OF_FRAMES	963
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:07:27.539	197744.62702840
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
1	0.00000	1181.995	-525.317	1403.941	1153.135	-593.556	1096.516	1325.442	-502.528	932.137	1444.542	-480.942	873.561	1426.366	-463.511	876.858
2	0.01000	1182.022	-525.358	1403.936	1153.154	-593.598	1096.545	1325.548	-502.491	932.266	1444.584	-480.954	873.609	1426.373	-463.521	876.867
3	0.02000	1182.065	-525.334	1403.969	1153.138	-593.613	1096.567	1325.477	-502.512	932.131	1444.607	-480.992	873.601	1426.407	-463.532	876.890
4	0.03000	1182.075	-525.341	1403.951	1153.160	-593.603	1096.564	1325.486	-502.522	932.153	1444.551	-480.973	873.596	1426.347	-463.534	876.878
5	0.04000	1182.112	-525.348	1403.940	1153.155	-593.601	1096.568	1325.477	-502.495	932.159	1444.562	-480.941	873.589	1426.369	-463.528	876.840
6	0.05000	1182.135	-525.344	1403.939	1153.172	-593.582	1096.515	1325.514	-502.449	932.191	1444.513	-480.955	873.535	1426.361	-463.509	876.857
7	0.06000	1182.158	-525.446	1404.017	1153.185	-593.604	1096.537	1325.460	-502.504	932.151	1444.556	-480.935	873.560	1426.365	-463.488	876.859
8	0.07000	1182.141	-525.481	1403.973	1153.167	-593.622	1096.607	1325.450	-502.498	932.136	1444.544	-480.989	873.592	1426.334	-463.560	876.876
9	0.08000	1182.160	-525.454	1403.980	1153.163	-593.620	1096.581	1325.508	-502.496	932.227	1444.650	-480.959	873.681	1426.381	-463.508	876.906
10	0.09000	1182.182	-525.453	1403.999	1153.158	-593.609	1096.558	1325.485	-502.511	932.212	1444.608	-480.938	873.659	1426.382	-463.489	876.913
