NO_OF_FRAMES	438
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:08:24.823	197801.91540150
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
1	0.00000	1301.930	-511.781	1385.099	1366.733	-543.786	1082.889	1536.410	-415.225	935.844	1653.645	-367.188	876.053	1628.497	-352.699	876.525
2	0.01000	1304.641	-511.391	1384.975	1370.151	-542.570	1082.959	1539.772	-413.672	936.310	1656.726	-365.036	876.239	1631.543	-350.283	877.209
3	0.02000	1307.408	-510.893	1384.606	1373.594	-541.435	1082.890	1542.851	-412.351	936.083	1659.705	-362.816	876.289	1634.387	-348.262	877.303
4	0.03000	1310.106	-510.324	1384.299	1376.749	-540.678	1082.765	1546.115	-410.734	936.395	1662.232	-360.887	875.948	1636.529	-346.643	876.509
5	0.04000	1312.813	-509.711	1383.890	1380.108	-539.370	1082.956	1549.269	-409.202	936.353	1665.543	-358.266	876.376	1639.622	-344.172	877.286
6	0.05000	1315.546	-509.132	1383.627	1383.286	-538.508	1082.953	1552.258	-407.775	936.435	1668.332	-356.328	876.358	1642.237	-342.085	877.377
7	0.06000	1318.247	-508.654	1383.381	1386.559	-537.718	1082.899	1555.274	-406.356	936.522	1670.758	-354.324	876.184	1644.230	-341.170	876.398
8	0.07000	1320.934	-508.110	1383.243	1389.639	-536.582	1082.923	1558.396	-404.809	936.656	1673.919	-352.144	876.376	1647.484	-338.211	877.302
9	0.08000	1323.526	-507.587	1382.865	1392.748	-535.500	1082.802	1561.146	-403.513	936.615	1675.939	-350.305	875.724	1649.866	-336.994	877.078
10	0.09000	1326.264	-506.924	1382.553	1395.839	-534.528	1082.833	1563.999	-401.908	936.738	1679.104	-348.035	876.332	1653.048	-334.635	877.854
11	0.10000	1328.777	-506.526	1382.269	1398.883	-533.662	1082.793	1566.814	-400.884	936.608	1680.558	-346.865	875.316	1655.209	-332.943	877.437
12	0.11000	1331.345	-506.128	1381.959	1402.007	-532.877	1082.909	1569.606	-399.157	936.704	1682.473	-345.346	875.186	1656.832	-331.637	876.686
13	0.12000	1333.902	-505.408	1381.650	1404.861	-531.978	1082.934	1572.227	-397.935	936.689	1686.629	-342.313	876.554	1660.339	-328.780	878.051
14	0.13000	1336.436	-504.761	1381.339	1407.663	-530.810	1082.665	1574.979	-396.545	936.834	1688.272	-340.771	875.690	1661.788	-327.872	877.183
15	0.14000	1338.918	-504.273	1381.080	1410.463	-530.398	1082.672	1577.423	-395.062	936.612	1691.400	-338.658	876.427	1664.772	-325.533	878.015
16	0.15000	1341.378	-503.816	1380.837	1413.163	-529.159	1082.574	1580.167	-393.838	936.933	1692.977	-337.343	875.667	1666.739	-324.001	877.717
17	0.16000	1343.779	-503.221	1380.594	1415.919	-528.446	1082.681	1582.478	-392.483	936.891	1695.986	-335.091	876.758	1669.356	-321.880	878.307
18	0.17000	1346.210	-502.542	1380.232	1418.521	-527.536	1082.470	1584.859	-391.183	936.850	1697.470	-333.792	875.773	1670.452	-320.973	877.482
19	0.18000	1348.505	-502.075	1380.067	1421.035	-526.917	1082.427	1587.163	-390.011	936.917	1699.748	-331.889	875.854	1672.753	-319.027	877.539
20	0.19000	1350.719	-501.542	1379.845	1423.505	-526.014	1082.476	1589.391	-388.651	936.695	1701.263	-330.349	875.371	1673.775	-318.219	876.796
21	0.20000	1352.959	-501.052	1379.648	1425.827	-525.307	1082.518	1591.570	-387.682	936.884	1704.033	-328.525	876.063	1676.849	-315.859	878.115
22	0.21000	1355.043	-500.644	1379.316	1428.223	-524.281	1082.275	1593.711	-386.493	936.973	1705.704	-327.232	875.665	1678.538	-314.440	877.760
23	0.22000	1357.169	-500.180	1379.075	1430.382	-523.712	1082.213	1595.633	-385.362	936.750	1707.332	-326.101	875.518	1679.900	-313.534	877.892
24	0.23000	1359.197	-499.740	1378.844	1432.519	-523.071	1082.163	1597.600	-384.473	936.786	1709.393	-324.456	875.561	1681.547	-311.742	877.631
25	0.24000	1361.107	-499.378	1378.695	1434.545	-522.359	1082.071	1599.623	-383.524	936.878	1710.753	-323.573	875.338	1682.333	-311.039	876.998
26	0.25000	1363.056	-498.829	1378.394	1436.504	-521.866	1082.063	1601.221	-382.571	936.691	1713.572	-322.118	875.695	1684.091	-308.895	877.616
27	0.26000	1364.935	-498.463	1378.151	1438.456	-521.195	1081.982	1602.926	-381.700	936.631	1715.665	-321.531	875.549	1684.614	-306.918	878.161
28	0.27000	1366.748	-497.962	1377.921	1440.156	-520.774	1082.038	1604.594	-380.956	936.753	1719.935	-320.403	876.274	1685.462	-305.507	878.247
29	0.28000	1368.436	-497.496	1377.767	1441.864	-520.334	1081.988	1606.117	-380.214	936.785	1723.105	-319.657	876.969	1686.301	-304.300	878.072
30	0.29000	1370.206	-497.179	1377.540	1443.582	-519.866	1081.892	1607.725	-379.557	936.755	1725.875	-319.705	876.624	1686.881	-303.279	878.064
31	0.30000	1371.733	-496.923	1377.334	1445.070	-519.563	1081.740	1609.083	-379.069	936.684	1728.700	-318.954	877.096	1688.262	-301.468	879.657
32	0.31000	1373.336	-496.514	1377.214	1446.476	-519.409	1081.612	1610.397	-378.584	936.598	1730.760	-318.583	876.669	1688.542	-300.746	878.863
