NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:12:23.192	198040.29905730
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
1	0.00000	1217.923	-463.629	1399.581	1155.187	-542.259	1099.884	1317.530	-471.794	923.469	1437.114	-479.510	873.621	1423.875	-455.826	876.094
2	0.01000	1217.870	-463.595	1399.612	1155.210	-542.276	1099.894	1317.563	-471.811	923.505	1437.125	-479.463	873.658	1423.912	-455.809	876.155
3	0.02000	1217.859	-463.588	1399.602	1155.155	-542.197	1099.865	1317.569	-471.811	923.526	1437.139	-479.481	873.668	1423.811	-455.648	876.052
4	0.03000	1217.835	-463.541	1399.602	1155.152	-542.192	1099.835	1317.517	-471.817	923.484	1437.124	-479.458	873.644	1423.772	-455.622	876.022
5	0.04000	1217.831	-463.495	1399.579	1155.126	-542.190	1099.860	1317.560	-471.790	923.483	1437.085	-479.479	873.597	1423.862	-455.824	876.082
6	0.05000	1217.850	-463.463	1399.528	1155.096	-542.181	1099.858	1317.495	-471.793	923.440	1437.041	-479.480	873.541	1423.849	-455.798	876.053
7	0.06000	1217.846	-463.421	1399.547	1155.108	-542.127	1099.841	1317.453	-471.795	923.402	1437.078	-479.478	873.601	1423.842	-455.807	876.069
8	0.07000	1217.827	-463.371	1399.582	1155.095	-542.064	1099.887	1317.564	-471.761	923.520	1437.065	-479.475	873.675	1423.937	-455.758	876.210
9	0.08000	1217.813	-463.335	1399.567	1155.093	-542.005	1099.847	1317.678	-471.715	923.575	1437.159	-479.448	873.688	1423.848	-455.592	876.110
10	0.09000	1217.793	-463.277	1399.572	1155.077	-542.018	1099.863	1317.723	-471.742	923.611	1437.184	-479.469	873.709	1424.004	-455.740	876.233
11	0.10000	1217.747	-463.268	1399.571	1155.064	-541.968	1099.856	1317.669	-471.706	923.573	1437.146	-479.411	873.657	1423.878	-455.566	876.119
12	0.11000	1217.740	-463.241	1399.576	1155.031	-541.931	1099.884	1317.643	-471.702	923.567	1437.156	-479.418	873.689	1423.874	-455.570	876.117
13	0.12000	1217.722	-463.216	1399.573	1154.977	-541.876	1099.834	1317.651	-471.665	923.584	1437.141	-479.417	873.665	1423.989	-455.704	876.252
14	0.13000	1217.678	-463.138	1399.483	1154.892	-541.906	1099.810	1317.633	-471.657	923.556	1437.155	-479.450	873.673	1424.019	-455.705	876.262
15	0.14000	1217.627	-463.199	1399.511	1154.893	-541.834	1099.798	1317.654	-471.666	923.564	1437.150	-479.424	873.677	1423.900	-455.546	876.127
16	0.15000	1217.631	-463.111	1399.443	1154.856	-541.788	1099.729	1317.680	-471.687	923.592	1437.149	-479.451	873.685	1423.914	-455.553	876.167
17	0.16000	1217.546	-463.206	1399.402	1154.770	-541.796	1099.711	1317.647	-471.681	923.590	1437.151	-479.449	873.722	1423.855	-455.587	876.159
18	0.17000	1217.580	-463.106	1399.390	1154.753	-541.695	1099.642	1317.643	-471.658	923.549	1437.126	-479.452	873.666	1424.021	-455.703	876.266
19	0.18000	1217.529	-463.125	1399.382	1154.757	-541.546	1099.549	1317.643	-471.628	923.512	1437.151	-479.462	873.704	1423.908	-455.542	876.138
20	0.19000	1217.556	-463.101	1399.319	1154.724	-541.518	1099.542	1317.655	-471.615	923.496	1437.117	-479.415	873.661	1423.869	-455.563	876.126
21	0.20000	1217.545	-463.113	1399.343	1154.716	-541.377	1099.475	1317.651	-471.612	923.481	1437.142	-479.436	873.695	1424.023	-455.674	876.283
22	0.21000	1217.545	-463.057	1399.314	1154.678	-541.361	1099.494	1317.635	-471.595	923.466	1437.145	-479.459	873.676	1423.853	-455.545	876.123
