NO_OF_FRAMES	1727
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:13:29.900	198107.01191620
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
1	0.00000	1236.862	-452.393	1416.665	1251.334	-517.013	1113.928	1380.354	-418.131	915.407	1539.270	-412.852	878.942	1486.044	-382.670	876.615
2	0.01000	1236.765	-452.281	1416.632	1251.322	-517.003	1113.954	1380.356	-418.177	915.350	1539.258	-412.840	878.896	1486.033	-382.664	876.616
3	0.02000	1236.688	-452.220	1416.643	1251.330	-516.845	1114.012	1380.360	-418.085	915.392	1539.257	-412.828	878.901	1486.032	-382.663	876.594
4	0.03000	1236.571	-452.190	1416.632	1251.291	-516.842	1114.022	1380.333	-418.080	915.379	1539.272	-412.825	878.919	1486.048	-382.629	876.624
5	0.04000	1236.461	-452.169	1416.656	1251.244	-516.785	1113.988	1380.310	-418.079	915.391	1539.283	-412.823	878.910	1486.082	-382.646	876.640
6	0.05000	1236.327	-452.179	1416.604	1251.171	-516.760	1113.998	1380.346	-418.118	915.399	1539.283	-412.838	878.909	1486.020	-382.680	876.609
7	0.06000	1236.191	-452.184	1416.625	1251.103	-516.682	1113.960	1380.327	-418.121	915.426	1539.272	-412.837	878.927	1486.053	-382.704	876.643
8	0.07000	1236.088	-452.094	1416.577	1251.042	-516.615	1113.988	1380.359	-418.073	915.465	1539.242	-412.858	878.942	1486.044	-382.638	876.685
9	0.08000	1235.942	-452.142	1416.585	1250.975	-516.574	1113.943	1380.401	-417.998	915.495	1539.275	-412.834	878.901	1486.030	-382.591	876.700
10	0.09000	1235.803	-452.095	1416.543	1250.916	-516.547	1113.916	1380.403	-418.010	915.505	1539.236	-412.827	878.900	1486.028	-382.593	876.686
11	0.10000	1235.673	-452.073	1416.524	1250.776	-516.506	1113.861	1380.425	-418.011	915.545	1539.313	-412.837	878.918	1486.076	-382.583	876.712
12	0.11000	1235.522	-452.079	1416.490	1250.731	-516.547	1113.802	1380.393	-418.014	915.541	1539.285	-412.868	878.940	1485.993	-382.586	876.662
13	0.12000	1235.413	-452.074	1416.437	1250.583	-516.468	1113.837	1380.420	-417.997	915.602	1539.272	-412.853	878.955	1486.033	-382.600	876.732
14	0.13000	1235.275	-452.077	1416.422	1250.488	-516.544	1113.745	1380.397	-418.040	915.568	1539.242	-412.875	878.926	1486.080	-382.631	876.763
15	0.14000	1235.146	-452.096	1416.374	1250.366	-516.557	1113.703	1380.391	-418.100	915.584	1539.261	-412.868	878.953	1486.063	-382.622	876.741
16	0.15000	1235.016	-452.069	1416.328	1250.197	-516.520	1113.616	1380.354	-418.091	915.573	1539.271	-412.854	878.949	1486.102	-382.601	876.726
17	0.16000	1234.891	-452.018	1416.204	1250.119	-516.533	1113.562	1380.417	-417.986	915.599	1539.259	-412.852	878.919	1486.090	-382.639	876.736
18	0.17000	1234.728	-452.030	1416.155	1249.955	-516.509	1113.478	1380.348	-418.075	915.574	1539.264	-412.873	878.934	1486.082	-382.588	876.740
19	0.18000	1234.551	-452.074	1416.107	1249.850	-516.516	1113.433	1380.400	-418.038	915.634	1539.297	-412.872	878.938	1486.085	-382.647	876.749
20	0.19000	1234.387	-452.110	1416.084	1249.725	-516.560	1113.336	1380.400	-418.108	915.641	1539.274	-412.895	878.941	1486.096	-382.625	876.798
21	0.20000	1234.132	-452.215	1416.059	1249.603	-516.557	1113.302	1380.435	-418.034	915.688	1539.251	-412.910	878.949	1486.085	-382.656	876.770
22	0.21000	1233.988	-452.234	1415.979	1249.439	-516.543	1113.249	1380.383	-418.058	915.680	1539.264	-412.898	878.971	1486.121	-382.577	876.819
23	0.22000	1233.749	-452.305	1415.877	1249.273	-516.505	1113.162	1380.330	-418.096	915.644	1539.244	-412.867	878.946	1486.049	-382.628	876.764
24	0.23000	1233.608	-452.338	1415.808	1249.166	-516.550	1113.134	1380.288	-418.051	915.658	1539.214	-412.885	878.973	1486.065	-382.584	876.755
25	0.24000	1233.490	-452.385	1415.758	1249.016	-516.512	1113.043	1380.284	-418.001	915.661	1539.195	-412.855	878.940	1486.054	-382.616	876.758
26	0.25000	1233.403	-452.449	1415.667	1248.901	-516.511	1112.957	1380.275	-418.005	915.683	1539.226	-412.867	878.955	1486.101	-382.618	876.795
27	0.26000	1233.359	-452.513	1415.614	1248.793	-516.469	1112.871	1380.301	-418.007	915.675	1539.208	-412.890	878.972	1486.065	-382.643	876.775
28	0.27000	1233.383	-452.642	1415.565	1248.689	-516.483	1112.821	1380.310	-417.986	915.678	1539.206	-412.883	878.995	1486.105	-382.592	876.848
29	0.28000	1233.444	-452.678	1415.501	1248.618	-516.460	1112.751	1380.230	-417.972	915.636	1539.197	-412.881	878.975	1486.072	-382.575	876.776
30	0.29000	1233.544	-452.734	1415.452	1248.567	-516.470	1112.732	1380.217	-417.928	915.620	1539.178	-412.862	878.956	1486.109	-382.598	876.774
31	0.30000	1233.651	-452.804	1415.405	1248.495	-516.500	1112.694	1380.221	-417.896	915.620	1539.143	-412.820	878.945	1486.124	-382.603	876.736
32	0.31000	1233.812	-452.863	1415.384	1248.545	-516.563	1112.620	1380.180	-417.897	915.590	1539.153	-412.838	878.931	1486.044	-382.555	876.741
33	0.32000	1233.944	-452.916	1415.386	1248.618	-516.538	1112.632	1380.196	-417.913	915.611	1539.159	-412.823	878.947	1486.108	-382.591	876.771
34	0.33000	1234.102	-452.985	1415.386	1248.750	-516.597	1112.678	1380.238	-417.901	915.618	1539.182	-412.866	878.980	1486.091	-382.587	876.758
35	0.34000	1234.278	-453.037	1415.412	1248.859	-516.664	1112.702	1380.242	-417.949	915.612	1539.169	-412.875	878.981	1486.057	-382.598	876.719
36	0.35000	1234.397	-453.069	1415.434	1249.000	-516.727	1112.730	1380.331	-417.944	915.616	1539.208	-412.859	878.957	1486.130	-382.615	876.754
37	0.36000	1234.533	-453.115	1415.429	1249.143	-516.811	1112.761	1380.307	-417.933	915.587	1539.229	-412.858	878.910	1486.146	-382.572	876.713
38	0.37000	1234.652	-453.172	1415.492	1249.246	-516.879	1112.795	1380.313	-417.942	915.599	1539.234	-412.864	878.917	1486.158	-382.536	876.727
39	0.38000	1234.785	-453.244	1415.496	1249.342	-517.004	1112.833	1380.346	-417.945	915.588	1539.260	-412.832	878.940	1486.168	-382.584	876.723
40	0.39000	1234.879	-453.292	1415.514	1249.402	-517.070	1112.709	1380.399	-417.987	915.614	1539.275	-412.874	878.938	1486.147	-382.580	876.756
41	0.40000	1234.982	-453.342	1415.516	1249.407	-517.141	1112.728	1380.349	-417.980	915.621	1539.295	-412.889	878.965	1486.151	-382.593	876.740
42	0.41000	1235.087	-453.414	1415.489	1249.428	-517.157	1112.725	1380.345	-418.004	915.626	1539.249	-412.903	878.965	1486.206	-382.615	876.758
43	0.42000	1235.119	-453.453	1415.490	1249.421	-517.202	1112.719	1380.414	-418.009	915.642	1539.259	-412.930	878.983	1486.155	-382.594	876.710
44	0.43000	1235.185	-453.515	1415.484	1249.451	-517.166	1112.659	1380.400	-418.035	915.575	1539.270	-412.881	878.946	1486.183	-382.592	876.712
45	0.44000	1235.231	-453.664	1415.455	1249.420	-517.207	1112.626	1380.445	-418.004	915.566	1539.281	-412.897	878.926	1486.227	-382.633	876.725
46	0.45000	1235.231	-453.751	1415.451	1249.400	-517.182	1112.587	1380.430	-418.075	915.561	1539.312	-412.890	878.918	1486.246	-382.655	876.711
47	0.46000	1235.287	-453.789	1415.409	1249.380	-517.182	1112.583	1380.514	-418.027	915.589	1539.316	-412.956	878.935	1486.321	-382.704	876.781
48	0.47000	1235.325	-453.906	1415.458	1249.341	-517.203	1112.528	1380.532	-418.056	915.598	1539.327	-412.960	878.943	1486.305	-382.708	876.767
49	0.48000	1235.372	-453.996	1415.475	1249.306	-517.226	1112.483	1380.518	-418.122	915.580	1539.316	-412.939	878.937	1486.308	-382.723	876.763
50	0.49000	1235.441	-454.028	1415.455	1249.283	-517.252	1112.499	1380.525	-418.051	915.573	1539.317	-412.940	878.931	1486.305	-382.734	876.776
51	0.50000	1235.539	-454.072	1415.423	1249.290	-517.314	1112.444	1380.492	-418.097	915.538	1539.311	-412.941	878.901	1486.324	-382.725	876.725
52	0.51000	1235.644	-454.106	1415.413	1249.323	-517.359	1112.444	1380.549	-418.055	915.570	1539.307	-412.921	878.895	1486.310	-382.689	876.723
53	0.52000	1235.740	-454.207	1415.401	1249.314	-517.422	1112.401	1380.522	-418.088	915.543	1539.332	-412.916	878.903	1486.319	-382.707	876.713
54	0.53000	1235.879	-454.252	1415.388	1249.328	-517.517	1112.395	1380.521	-418.098	915.592	1539.310	-412.925	878.909	1486.342	-382.710	876.726
55	0.54000	1235.998	-454.291	1415.385	1249.356	-517.606	1112.387	1380.559	-418.145	915.600	1539.345	-412.945	878.919	1486.337	-382.724	876.763
56	0.55000	1236.110	-454.378	1415.409	1249.381	-517.658	1112.378	1380.591	-418.136	915.603	1539.363	-412.953	878.907	1486.409	-382.751	876.773
57	0.56000	1236.179	-454.516	1415.465	1249.435	-517.736	1112.386	1380.555	-418.127	915.572	1539.361	-412.930	878.936	1486.371	-382.748	876.728
58	0.57000	1236.281	-454.508	1415.312	1249.450	-517.787	1112.327	1380.549	-418.141	915.527	1539.362	-412.938	878.907	1486.381	-382.745	876.700
59	0.58000	1236.391	-454.597	1415.304	1249.504	-517.869	1112.314	1380.586	-418.137	915.541	1539.368	-412.944	878.876	1486.427	-382.696	876.714
60	0.59000	1236.457	-454.642	1415.247	1249.533	-517.937	1112.300	1380.557	-418.148	915.520	1539.366	-412.941	878.915	1486.343	-382.678	876.699
61	0.60000	1236.571	-454.716	1415.258	1249.534	-518.097	1112.285	1380.582	-418.129	915.569	1539.363	-412.944	878.913	1486.397	-382.711	876.733
62	0.61000	1236.634	-454.748	1415.207	1249.566	-518.117	1112.183	1380.607	-418.134	915.561	1539.372	-412.974	878.927	1486.415	-382.717	876.755
