NO_OF_FRAMES	3291
NO_OF_CAMERAS	10
NO_OF_MARKERS	8
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:24:35.810	198772.96539480
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb	Middle	Ring	Pinky
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	Middle X	Middle Y	Middle Z	Ring X	Ring Y	Ring Z	Pinky X	Pinky Y	Pinky Z	
1	0.00000	1360.490	-545.326	1313.058	1352.444	-566.968	1025.071	1598.528	-559.110	1017.554	1772.093	-557.248	1034.665	1703.045	-613.340	1043.102	1783.482	-532.602	1030.341	1772.722	-505.274	1021.469	1748.925	-482.577	1009.335
2	0.01000	1360.477	-545.318	1313.062	1352.446	-566.928	1025.104	1598.529	-559.144	1017.552	1772.008	-557.341	1034.554	1703.014	-613.358	1043.093	1783.479	-532.602	1030.369	1772.755	-505.283	1021.461	1748.929	-482.575	1009.358
3	0.02000	1360.469	-545.226	1313.018	1352.426	-566.982	1025.110	1598.518	-559.112	1017.578	1772.034	-557.344	1034.598	1703.046	-613.340	1043.100	1783.474	-532.601	1030.373	1772.754	-505.333	1021.554	1748.941	-482.605	1009.362
4	0.03000	1360.435	-545.210	1312.965	1352.426	-566.983	1025.109	1598.528	-559.116	1017.550	1771.870	-557.041	1034.802	1703.042	-613.347	1043.118	1783.417	-532.655	1030.399	1771.946	-505.705	1021.004	1748.931	-482.631	1009.315
5	0.04000	1360.418	-545.178	1312.999	1352.421	-566.920	1025.070	1598.509	-559.144	1017.554	1771.821	-557.013	1034.751	1703.018	-613.364	1043.097	1783.457	-532.660	1030.339	1771.986	-505.711	1020.997	1748.960	-482.649	1009.266
6	0.05000	1360.430	-545.169	1312.980	1352.403	-566.948	1025.098	1598.496	-559.144	1017.519	1771.808	-557.073	1034.753	1703.008	-613.342	1043.126	1783.545	-532.701	1030.343	1771.959	-505.730	1020.921	1748.968	-482.686	1009.142
7	0.06000	1360.402	-545.128	1312.982	1352.402	-566.961	1025.088	1598.518	-559.174	1017.568	1771.833	-557.069	1034.733	1703.005	-613.347	1043.134	1783.617	-532.716	1030.277	1772.008	-505.765	1020.820	1748.989	-482.624	1009.089
8	0.07000	1360.392	-545.168	1312.973	1352.497	-567.194	1025.115	1598.519	-559.172	1017.558	1771.848	-557.121	1034.739	1702.970	-613.399	1043.141	1783.667	-532.755	1030.186	1771.963	-505.781	1020.799	1748.969	-482.486	1009.131
9	0.08000	1360.394	-545.139	1312.997	1352.403	-566.957	1025.089	1598.471	-559.186	1017.541	1771.842	-557.139	1034.744	1702.990	-613.357	1043.197	1783.723	-532.769	1030.222	1772.050	-505.752	1020.858	1748.965	-482.365	1009.235
10	0.09000	1360.376	-545.116	1312.986	1352.402	-566.968	1025.082	1598.500	-559.163	1017.570	1771.855	-557.093	1034.704	1703.035	-613.377	1043.165	1783.683	-532.748	1030.197	1772.043	-505.734	1020.858	1749.032	-482.250	1009.336
