NO_OF_FRAMES	719
NO_OF_CAMERAS	10
NO_OF_MARKERS	8
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:29:07.453	199044.62658890
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb	Middle	Ring	Pinky
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	Middle X	Middle Y	Middle Z	Ring X	Ring Y	Ring Z	Pinky X	Pinky Y	Pinky Z	
1	0.00000	1564.407	87.922	1333.125	1549.607	91.641	1028.630	1798.786	98.567	1028.193	1977.378	95.675	1008.956	1902.478	45.821	1050.628	1988.504	122.197	1010.859	1972.518	151.657	1016.101	1949.784	166.839	1014.474
2	0.01000	1564.490	87.941	1333.119	1549.636	91.661	1028.623	1798.803	98.583	1028.180	1977.516	95.393	1008.912	1902.434	45.616	1050.692	1988.549	122.215	1010.944	1972.457	151.614	1016.032	1949.799	166.808	1014.492
3	0.02000	1564.571	87.945	1333.114	1549.602	91.656	1028.619	1798.805	98.574	1028.193	1977.508	95.367	1008.887	1902.426	45.657	1050.742	1988.540	122.167	1011.014	1972.452	151.595	1016.065	1949.832	166.808	1014.507
4	0.03000	1564.611	87.964	1333.120	1549.612	91.652	1028.640	1798.831	98.552	1028.223	1977.642	95.496	1009.174	1902.489	45.848	1050.605	1988.486	122.085	1011.015	1972.512	151.633	1016.119	1950.553	167.781	1016.644
5	0.04000	1564.698	87.986	1333.107	1549.651	91.661	1028.624	1798.821	98.545	1028.195	1977.661	95.522	1009.188	1902.489	45.666	1050.765	1988.442	122.086	1011.053	1972.452	151.588	1016.101	1950.565	167.808	1016.648
6	0.05000	1564.784	88.007	1333.100	1549.628	91.648	1028.672	1798.853	98.569	1028.187	1977.648	95.528	1009.185	1902.471	45.713	1050.814	1988.422	122.097	1011.065	1972.485	151.628	1016.128	1950.561	167.817	1016.679
7	0.06000	1564.829	88.050	1333.118	1549.655	91.673	1028.670	1798.817	98.579	1028.190	1977.660	95.567	1009.157	1902.500	45.711	1050.744	1988.411	122.129	1011.091	1972.418	151.617	1016.112	1950.542	167.809	1016.679
8	0.07000	1564.902	88.131	1333.110	1549.631	91.696	1028.641	1798.805	98.694	1028.166	1977.687	95.840	1009.152	1902.533	45.996	1050.705	1988.551	122.282	1011.200	1972.466	151.624	1015.985	1950.473	167.753	1016.491
9	0.08000	1564.985	88.183	1333.142	1549.643	91.683	1028.614	1798.767	98.741	1028.107	1977.634	95.847	1009.121	1902.516	45.956	1050.694	1988.526	122.228	1011.254	1972.423	151.643	1016.078	1950.593	167.913	1016.651
10	0.09000	1565.052	88.305	1333.100	1549.594	91.671	1028.636	1798.760	98.709	1028.111	1977.676	95.874	1009.167	1902.521	46.046	1050.679	1988.592	122.345	1011.333	1972.463	151.677	1016.082	1950.595	167.913	1016.650
